sample_id,cat,domain,level,native_chain_length,critical_path_length,parallelism_ratio,candidate_orderings,retained_orderings,filtered_orderings,bucket,max_parallelism,retained_ordering_distance_mean,retained_ordering_distance_median,retained_ordering_distance_max
c526d8d6-5987-4da9-b24c-83466fa172f3,B,Document,3,10,6,0.4,50,50,0,multi-order-rich,3,0.17822222222222223,0.17777777777777778,0.28888888888888886
389793a7-ca17-4e82-81cb-2b3a2391b4b9,B,Document,1,12,12,0.0,1,0,0,native-only,1,,,
3da89939-209c-4086-8520-7eb734e6b4ef,B,Document,3,7,7,0.0,5,0,5,native-only,2,,,
a3fbeb63-0e8c-4a11-bff6-0e3b484c3e9c,B,Document,1,7,3,0.5714285714285714,50,50,0,multi-order-rich,3,0.25047619047619046,0.23809523809523808,0.47619047619047616
8d46b8d6-b38a-47ff-ac74-cda14cf2d19b,B,Document,3,9,7,0.2222222222222222,21,18,2,multi-order-rich,2,0.14043209876543208,0.1388888888888889,0.2777777777777778
54612da3-fd56-4941-80f4-5eb82330de25,B,Document,2,8,6,0.25,27,6,20,multi-order-rich,2,0.1726190476190476,0.14285714285714285,0.35714285714285715
7cc4acfa-63fd-4acc-a1a1-e8e529e0a97f,B,Document,2,4,4,0.0,1,0,0,native-only,1,,,
65afbc8a-89ca-4ad5-8d62-355bb401f61d,B,Document,1,6,6,0.0,1,0,0,native-only,1,,,
67e8878b-5cef-4375-804e-e6291fdbe78a,B,Document,2,6,4,0.33333333333333337,6,5,0,multi-order-rich,2,0.16,0.13333333333333333,0.26666666666666666
4d51c4bf-4b0e-4f3d-897b-3f6687a7d9f2,B,Document,2,3,3,0.0,1,0,0,native-only,1,,,
f918266a-b3e0-4914-865d-4faa564f1aef,B,Document,1,1,1,0.0,1,0,0,native-only,1,,,
da52d699-e8d2-4dc5-9191-a2199e0b6a9b,B,Document,3,44,13,0.7045454545454546,50,50,0,multi-order-rich,21,0.35044397463002114,0.35095137420718814,0.35412262156448204
edd4d4f2-1a58-45c4-b038-67337af4e029,B,Document,2,4,3,0.25,3,2,0,multi-order-rich,2,0.25,0.25,0.3333333333333333
4d0aa727-86b1-406b-9b33-f870dd14a4a5,B,Document,2,4,4,0.0,1,0,0,native-only,1,,,
7bd855d8-463d-4ed5-93ca-5fe35145f733,B,Document,1,4,4,0.0,1,0,0,native-only,1,,,
df6561b2-7ee5-4540-baab-5095f742716a,C,Vision,2,5,4,0.19999999999999996,3,2,0,multi-order-rich,2,0.15000000000000002,0.15000000000000002,0.2
cca530fc-4052-43b2-b130-b30968d8aa44,C,Vision,1,2,2,0.0,1,0,0,native-only,1,,,
9318445f-fe6a-4e1b-acbf-c68228c9906a,C,Vision,1,9,4,0.5555555555555556,50,50,0,multi-order-rich,8,0.5766666666666667,0.5833333333333334,0.6666666666666666
8f80e01c-1296-4371-9486-bb3d68651a60,C,Vision,2,9,4,0.5555555555555556,50,45,5,multi-order-rich,5,0.34567901234567905,0.3333333333333333,0.4722222222222222
6359a0b1-8f7b-499b-9336-840f9ab90688,C,Vision,2,5,5,0.0,1,0,0,native-only,1,,,
cca70ce6-1952-45d2-acd4-80c903b0bc49,C,Vision,2,4,4,0.0,1,0,0,native-only,1,,,
b7f857e4-d8aa-4387-af2a-0e844df5b9d8,C,Vision,2,7,7,0.0,1,0,0,native-only,1,,,
d8152ad6-e4d5-4c12-8bb7-8d57dc10c6de,C,Vision,2,9,8,0.11111111111111116,4,3,0,multi-order-rich,2,0.05555555555555556,0.05555555555555555,0.08333333333333333
5b2a14e8-6e59-479c-80e3-4696e8980152,C,Vision,3,8,8,0.0,1,0,1,native-only,1,,,
b2c257e0-3ad7-4f05-b8e3-d9da973be36e,C,Vision,2,11,7,0.36363636363636365,50,3,47,multi-order-rich,2,0.19393939393939394,0.18181818181818182,0.2545454545454545
2b3ef98c-cc05-450b-a719-711aee40ac65,D,Audio,2,14,11,0.2142857142857143,20,19,0,multi-order-rich,2,0.052053209947946794,0.054945054945054944,0.0989010989010989
99c9cc74-fdc8-46c6-8f8d-3ce2d3bfeea3,D,Audio,1,5,5,0.0,1,0,0,native-only,1,,,
1f975693-876d-457b-a649-393859e79bf3,D,Audio,1,5,5,0.0,1,0,0,native-only,1,,,
